name,ID,Probe_vs_Competition_p.val,Vehicle_vs_Competition_p.val,Vehicle_vs_Probe_p.val,Probe_vs_Competition_p.adj,Vehicle_vs_Competition_p.adj,Vehicle_vs_Probe_p.adj,Probe_vs_Competition_significant,Vehicle_vs_Competition_significant,Vehicle_vs_Probe_significant,significant,Probe_vs_Competition_ratio,Vehicle_vs_Competition_ratio,Vehicle_vs_Probe_ratio,Competition_centered,Probe_centered,Vehicle_centered
HNRNPU,Q00839,0.9989415133140523,0.2476975774183737,0.24813791939350024,0.925,0.637,0.954,FALSE,FALSE,FALSE,FALSE,-2.76e-4,-0.258,-0.258,0.0862,0.086,-0.172
HSD17B4,P51659,0.5886353660530783,0.08890004928706048,0.18776175692655372,0.654,0.231,0.939,FALSE,FALSE,FALSE,FALSE,0.162,0.59,0.428,-0.251,-0.0885,0.339
HSP90AA1,P07900,0.8363655060478148,0.8709987666583074,0.9645934650407335,0.88,0.914,0.987,FALSE,FALSE,FALSE,FALSE,-0.0454,-0.0357,0.00974,0.027,-0.0184,-0.00865
HSP90AB1,P08238,0.7318738331887922,0.8898818032801873,0.8370126710410177,0.821,0.916,0.985,FALSE,FALSE,FALSE,FALSE,-0.0614,-0.0247,0.0367,0.0287,-0.0327,0.00401
HSP90B1,P14625,0.8995524416253345,0.36712904345462993,0.43009878313680855,0.902,0.767,0.973,FALSE,FALSE,FALSE,FALSE,-0.0229,-0.171,-0.148,0.0646,0.0417,-0.106
HSPA14,Q0VDF9,0.9181852643785673,0.510438612558054,0.45136367183392817,0.908,0.841,0.974,FALSE,FALSE,FALSE,FALSE,-0.0144,0.0943,0.109,-0.0266,-0.041,0.0677
HSPA4,P34932,0.5130592640125421,0.5711915672155985,0.925843061001029,0.501,0.861,0.986,FALSE,FALSE,FALSE,FALSE,-0.13,-0.112,0.0181,0.0806,-0.0493,-0.0313
HSPA8,P11142,0.38735173509934495,0.9151473737569683,0.44220489103416877,0.246,0.918,0.974,FALSE,FALSE,FALSE,FALSE,-0.131,-0.0155,0.116,0.0489,-0.0822,0.0333
HSPA9,P38646,0.7159116498481737,0.9760532118748599,0.7380141869346388,0.808,0.924,0.983,FALSE,FALSE,FALSE,FALSE,-0.0532,-0.00436,0.0488,0.0192,-0.034,0.0148
HSPD1,P10809,0.854083458429221,0.7223628913184748,0.5934890455070758,0.887,0.894,0.98,FALSE,FALSE,FALSE,FALSE,-0.0891,0.173,0.262,-0.028,-0.117,0.145
HSPH1,Q92598,0.645634279548388,0.6902083258563181,0.9497131698481871,0.737,0.888,0.986,FALSE,FALSE,FALSE,FALSE,0.211,0.182,-0.0286,-0.131,0.0797,0.0512
IARS,P41252,0.7362098184798362,0.3092405444263238,0.4738809858012862,0.824,0.716,0.975,FALSE,FALSE,FALSE,FALSE,-0.137,-0.434,-0.297,0.19,0.0534,-0.244
IDH2,P48735,0.8790349490258218,0.5271378519315817,0.4393577878075839,0.896,0.847,0.973,FALSE,FALSE,FALSE,FALSE,0.0357,-0.151,-0.187,0.0386,0.0743,-0.113
ILF3,Q12906,0.8416119572165668,0.2802934807643767,0.21435627508585936,0.882,0.683,0.947,FALSE,FALSE,FALSE,FALSE,-0.0573,0.329,0.386,-0.0905,-0.148,0.238
IMMT,Q16891,0.8934981401645035,0.5196652549546126,0.6052692743681787,0.9,0.845,0.98,FALSE,FALSE,FALSE,FALSE,-0.0313,-0.154,-0.122,0.0617,0.0304,-0.092
IMPDH2,P12268,0.9976176934981456,0.34522356925448844,0.3465518430013915,0.925,0.75,0.967,FALSE,FALSE,FALSE,FALSE,-7.84e-4,-0.26,-0.259,0.0869,0.0861,-0.173
IQGAP1,P46940,0.8782255344399177,0.41057228626011466,0.33794742546326834,0.896,0.796,0.966,FALSE,FALSE,FALSE,FALSE,-0.0256,0.143,0.168,-0.039,-0.0646,0.104
KARS,Q15046,0.9870217186940816,0.8169817054043971,0.8044839235965643,0.923,0.907,0.984,FALSE,FALSE,FALSE,FALSE,0.00353,-0.0503,-0.053900000000000003,0.0156,0.0191,-0.0347
KHSRP,Q92945,0.9622703221821344,0.761542351167059,0.7973858664894675,0.918,0.9,0.984,FALSE,FALSE,FALSE,FALSE,0.00857,0.0552,0.0467,-0.0213,-0.0127,0.034
KPNB1,Q14974,0.6356943400347723,0.8526740007965378,0.5152914757715181,0.724,0.912,0.977,FALSE,FALSE,FALSE,FALSE,-0.0977,0.0379,0.136,0.0199,-0.0778,0.0579
LAP3,P28838,0.9196731862512186,0.07913847402691135,0.06917416759922003,0.908,0.192,0.806,FALSE,FALSE,FALSE,FALSE,-0.0165,0.341,0.358,-0.108,-0.125,0.233
LARS,Q9P2J5,0.7681095433698513,0.5949493122113776,0.4194835070150666,0.845,0.867,0.972,FALSE,FALSE,FALSE,FALSE,0.0635,-0.116,-0.179,0.0174,0.081,-0.0984
LBR,Q14739,0.5698330774009204,0.6224459310332044,0.3084490395323336,0.62,0.874,0.963,FALSE,FALSE,FALSE,FALSE,0.207,-0.179,-0.386,-0.00948,0.198,-0.188
LCP1,P13796,0.938629695686586,0.9845179386309133,0.9232231044718677,0.913,0.925,0.986,FALSE,FALSE,FALSE,FALSE,-0.0225,0.00567,0.0282,0.00561,-0.0169,0.0113
LDHA,P00338,0.8604221325342718,0.41936921860681814,0.5185742681510921,0.889,0.801,0.977,FALSE,FALSE,FALSE,FALSE,-0.0443,-0.21,-0.166,0.0848,0.0405,-0.125
LDHB,P07195,0.7280589292743309,0.6546319340289841,0.43737437986078587,0.818,0.881,0.973,FALSE,FALSE,FALSE,FALSE,-0.122,0.157,0.279,-0.0119,-0.134,0.145
LETM1,O95202,0.5369372386545544,0.007690394646899873,0.00416137642292585,0.554,9.06e-5,0.00297,FALSE,FALSE,FALSE,FALSE,0.241,-1.55,-1.79,0.436,0.677,-1.11
LMNA,P02545,0.8956235088525386,0.24434092225043186,0.2909558924708663,0.901,0.631,0.961,FALSE,FALSE,FALSE,FALSE,0.0323,0.308,0.276,-0.113,-0.0811,0.195
LMNB1,P20700,0.9832032875540608,0.363918420318928,0.35425684922833306,0.923,0.765,0.968,FALSE,FALSE,FALSE,FALSE,0.00355,-0.16,-0.164,0.0522,0.0558,-0.108
LMNB2,Q03252,0.8381061763900532,0.9235731379256213,0.7646917759956519,0.881,0.919,0.984,FALSE,FALSE,FALSE,FALSE,-0.0711,0.0333,0.104,0.0126,-0.0585,0.0459
LONP1,P36776,0.511797914390723,0.8183385102386769,0.6624808831741728,0.498,0.908,0.982,FALSE,FALSE,FALSE,FALSE,0.151,0.0517,-0.0991,-0.0675,0.0833,-0.0158
LRPPRC,P42704,0.8095967915552077,0.40798893182659135,0.5453636042583795,0.868,0.794,0.978,FALSE,FALSE,FALSE,FALSE,-0.0385,-0.137,-0.0983,0.0585,0.0199,-0.0784
LRRC47,Q8N1G4,0.4562399062203893,0.1382148130607084,0.3849525714905049,0.361,0.372,0.97,FALSE,FALSE,FALSE,FALSE,0.117,0.255,0.138,-0.124,-0.00696,0.131
LRRC8C,Q8TDW0,0.4473603372235113,0.4777804349133761,0.9566272518403982,0.346,0.829,0.987,FALSE,FALSE,FALSE,FALSE,0.14,0.131,-0.00974,-0.0903,0.05,0.0403
LRRFIP1,Q32MZ4,0.9405795083753572,0.7316456672354732,0.7875610151691266,0.913,0.895,0.984,FALSE,FALSE,FALSE,FALSE,0.0193,0.0893,0.07,-0.0362,-0.0169,0.0531
LTF,P02788,0.5804521115410758,0.12964855039834322,0.2775143883118389,0.639,0.353,0.959,FALSE,FALSE,FALSE,FALSE,0.73,2.23,1.5,-0.988,-0.258,1.25
LYZ,P61626,0.6147191408652677,0.1837334650679032,0.3618891679939987,0.695,0.507,0.968,FALSE,FALSE,FALSE,FALSE,0.725,2.08,1.36,-0.935,-0.21,1.15
MAD2L1,Q13257,0.7699160718765921,0.4566272201854339,0.3151031105298162,0.847,0.819,0.964,FALSE,FALSE,FALSE,FALSE,-0.0476,0.124,0.172,-0.0255,-0.0731,0.0986
MAGT1,Q9H0U3,0.4274196416731446,0.41520162325283744,0.13956246462957417,0.309,0.798,0.916,FALSE,FALSE,FALSE,FALSE,0.137,-0.141,-0.277,0.0013,0.138,-0.139
MATR3,P43243,0.8646362741428246,0.38774056315463273,0.4783757420534078,0.891,0.782,0.975,FALSE,FALSE,FALSE,FALSE,-0.0245,-0.129,-0.104,0.0511,0.0266,-0.0777
MCM2,P49736,0.5151828245459844,0.44630316928372815,0.9046269496629105,0.506,0.815,0.986,FALSE,FALSE,FALSE,FALSE,0.12,0.142,0.0216,-0.0873,0.0328,0.0545
MCM3,P25205,0.8265289590670838,0.8173586776731461,0.9905189212082186,0.876,0.907,0.987,FALSE,FALSE,FALSE,FALSE,-0.0448,-0.0473,-0.00243,0.0307,-0.0141,-0.0166
MCM4,P33991,0.8705117113406221,0.7013666689330269,0.5883517326856196,0.893,0.89,0.98,FALSE,FALSE,FALSE,FALSE,-0.0267,0.0633,0.09,-0.0122,-0.0389,0.0511
MCM5,P33992,0.5644817072704389,0.5545245636376419,0.2661983116501028,0.61,0.856,0.957,FALSE,FALSE,FALSE,FALSE,-0.146,0.15,0.296,-0.0013,-0.147,0.149
MCM6,Q14566,0.9547077167817193,0.5717867768976495,0.5358115269874624,0.917,0.861,0.978,FALSE,FALSE,FALSE,FALSE,0.0114,-0.115,-0.127,0.0346,0.046,-0.0806
MDH1,P40925,0.9132973566100906,0.4527349081626489,0.39569870924950074,0.906,0.818,0.971,FALSE,FALSE,FALSE,FALSE,-0.0181,0.129,0.147,-0.0369,-0.055,0.0919
MRPL37,Q9BZE1,0.7368646950819875,0.2859614981371884,0.18148456356196788,0.825,0.69,0.937,FALSE,FALSE,FALSE,FALSE,0.0544,-0.182,-0.237,0.0427,0.0971,-0.14
MSH2,P43246,0.7528043931125958,0.7317421846991246,0.9773861127607716,0.836,0.895,0.987,FALSE,FALSE,FALSE,FALSE,0.0649,0.0707,0.00581,-0.0452,0.0197,0.0255
MSN,P26038,0.6599777883093393,0.9926371885245568,0.6535126418135513,0.754,0.925,0.981,FALSE,FALSE,FALSE,FALSE,-0.0671,0.00139,0.0684,0.0219,-0.0452,0.0233
MTA2,O94776,0.8009286799435106,0.3940152640237456,0.2842147921791497,0.864,0.786,0.96,FALSE,FALSE,FALSE,FALSE,0.081,-0.284,-0.365,0.0676,0.149,-0.216
MTAP,Q13126,0.338924575005592,0.0022972617605416215,0.0010435820685707805,0.161,2.48e-8,2.94e-6,FALSE,FALSE,FALSE,FALSE,0.221,-1.18,-1.4,0.319,0.54,-0.858
MTHFD1,P11586,0.9984541701233833,0.7322269001004933,0.7336586510932901,0.925,0.895,0.983,FALSE,FALSE,FALSE,FALSE,-3.22e-4,-0.0573,-0.057,0.0192,0.0189,-0.0381
MYH9,P35579,0.6875483862194103,0.37605659390401,0.6097977509370571,0.783,0.774,0.98,FALSE,FALSE,FALSE,FALSE,-0.218,-0.496,-0.278,0.238,0.02,-0.258
MYL12B,O14950,0.9009258357445784,0.8767495382131097,0.9755143675675113,0.903,0.914,0.987,FALSE,FALSE,FALSE,FALSE,0.0588,0.0732,0.0145,-0.044,0.0148,0.0292
NAA15,Q9BXJ9,0.7001750271703571,0.15158984563126243,0.08941094660309865,0.795,0.415,0.858,FALSE,FALSE,FALSE,FALSE,0.183,-0.756,-0.939,0.191,0.374,-0.565
NASP,P49321,0.6941273028024076,0.8419772969858903,0.5582038033153107,0.789,0.911,0.979,FALSE,FALSE,FALSE,FALSE,-0.131,0.0658,0.196,0.0216,-0.109,0.0874
NAT10,Q9H0A0,0.8415905883861746,0.7968327424852322,0.9537004237978244,0.882,0.905,0.986,FALSE,FALSE,FALSE,FALSE,0.0327,0.0422,0.00949,-0.025,0.00774,0.0172
NCAPG,Q9BPX3,0.5834942179674939,0.8506534875643302,0.7144596521212183,0.645,0.912,0.983,FALSE,FALSE,FALSE,FALSE,-0.0932,-0.0316,0.0617,0.0416,-0.0516,0.01
NCL,P19338,0.6765580701628524,0.7386780328247327,0.4622717729277323,0.772,0.896,0.975,FALSE,FALSE,FALSE,FALSE,-0.0933,0.0743,0.168,0.00631,-0.0869,0.0806
NEK9,Q8TD19,0.9475536019959161,0.5223540598693148,0.5634837631325729,0.915,0.846,0.979,FALSE,FALSE,FALSE,FALSE,-0.0205,-0.203,-0.183,0.0746,0.0541,-0.129
NONO,Q15233,0.6208017791933939,0.30320884180810037,0.5629790052109713,0.704,0.71,0.979,FALSE,FALSE,FALSE,FALSE,0.101,0.22,0.119,-0.107,-0.0059,0.113
NPM1,P06748,0.8120464206150192,0.8273912462227867,0.9841222099799689,0.869,0.909,0.987,FALSE,FALSE,FALSE,FALSE,0.0432,0.0396,-0.00361,-0.0276,0.0156,0.012
NSF,P46459,0.32922943361978435,0.3528324010315396,0.957173651585978,0.146,0.756,0.987,FALSE,FALSE,FALSE,FALSE,-0.202,-0.191,0.0106,0.131,-0.0709,-0.0603
NUCB2,P80303,0.14764269847914208,0.04973803093168983,0.007595167946481073,0.0016,0.0765,0.0265,FALSE,FALSE,FALSE,FALSE,0.46,-0.69,-1.15,0.0766,0.536,-0.613
NUDT5,Q9UKK9,0.967602128984516,0.6891969631089595,0.6603383841223058,0.919,0.888,0.981,FALSE,FALSE,FALSE,FALSE,-0.015,0.149,0.164,-0.0446,-0.0596,0.104
NUP210,Q8TEM1,0.9999419350059817,0.5657571299530032,0.5658038648783987,0.926,0.859,0.979,FALSE,FALSE,FALSE,FALSE,-2.03e-5,-0.163,-0.163,0.0544,0.0544,-0.109
P4HB,P07237,0.5024037915685691,0.05293189214104217,0.022495848101992382,0.476,0.0856,0.343,FALSE,FALSE,FALSE,FALSE,0.263,-0.916,-1.18,0.217,0.481,-0.698
PA2G4,Q9UQ80,0.5462381785368965,0.6854514386586299,0.3305350995608704,0.574,0.887,0.965,FALSE,FALSE,FALSE,FALSE,-0.0882,0.0586,0.147,0.00987,-0.0783,0.0684
PABPC1,P11940,0.9330847650021624,0.31722614921128556,0.353606490061277,0.911,0.724,0.968,FALSE,FALSE,FALSE,FALSE,-0.0138,-0.173,-0.159,0.0622,0.0485,-0.111
PAICS,P22234,0.9320267275249109,0.42795944996506896,0.47480180376982845,0.911,0.805,0.975,FALSE,FALSE,FALSE,FALSE,-0.0432,-0.415,-0.372,0.153,0.11,-0.262
PARK7,Q99497,0.728787967002826,0.220539585716879,0.3497796727014127,0.819,0.589,0.967,FALSE,FALSE,FALSE,FALSE,0.0937,0.357,0.263,-0.15,-0.0565,0.207
PARP1,P09874,0.9581021641719545,0.43171882846708937,0.40449059053200714,0.917,0.807,0.971,FALSE,FALSE,FALSE,FALSE,-0.0133,0.205,0.218,-0.0639,-0.0772,0.141
PC,P11498,0.932336990371796,0.9686984532787305,0.9012518189452188,0.911,0.923,0.986,FALSE,FALSE,FALSE,FALSE,0.0582,-0.0269,-0.085,-0.0104,0.0477,-0.0373
PCBP1,Q15365,0.9923383967521862,0.8551712119994109,0.8626751623548546,0.924,0.912,0.985,FALSE,FALSE,FALSE,FALSE,0.00154,0.0293,0.0278,-0.0103,-0.00875,0.019
PCBP2,Q15366,0.7292152750113094,0.11160690583003868,0.17951760009612036,0.819,0.307,0.936,FALSE,FALSE,FALSE,FALSE,0.0899,0.472,0.382,-0.187,-0.0974,0.285
PCCA,P05165,0.9902294197698994,0.7922777006299473,0.7829628920482873,0.924,0.904,0.984,FALSE,FALSE,FALSE,FALSE,0.0137,-0.295,-0.309,0.0938,0.107,-0.201
PCMT1,P22061,0.8926005904645004,0.7330917272553903,0.6364759713762955,0.9,0.895,0.981,FALSE,FALSE,FALSE,FALSE,-0.0237,0.0602,0.0839,-0.0122,-0.0359,0.048
PCNA,P12004,0.49086813234290283,0.5595205499505371,0.9105989172769523,0.448,0.857,0.986,FALSE,FALSE,FALSE,FALSE,-0.119,-0.1,0.0189,0.0731,-0.046,-0.0271
PDCD6IP,Q8WUM4,0.8291661919188107,0.7172554428549087,0.5680153660942664,0.877,0.893,0.979,FALSE,FALSE,FALSE,FALSE,-0.0602,0.101,0.162,-0.0138,-0.0739,0.0877
PDIA3,P30101,0.8789579768186785,0.6118103241671726,0.5143825226829095,0.896,0.871,0.977,FALSE,FALSE,FALSE,FALSE,-0.0221,0.0744,0.0965,-0.0175,-0.0395,0.057
PDIA4,P13667,0.858948891382207,0.4280856782808398,0.5298942334176657,0.889,0.805,0.978,FALSE,FALSE,FALSE,FALSE,0.0261,0.12,0.0939,-0.0487,-0.0226,0.0713
PDIA6,Q15084,0.704697084361861,0.9418712420408395,0.7585368958550847,0.799,0.921,0.984,FALSE,FALSE,FALSE,FALSE,-0.0652,-0.0125,0.0527,0.0259,-0.0393,0.0134
PEBP1,P30086,0.9399135315469962,0.3812473851266975,0.41898730120940647,0.913,0.777,0.972,FALSE,FALSE,FALSE,FALSE,0.0178,0.215,0.198,-0.0777,-0.0599,0.138
PFKL,P17858,0.8193838262142967,0.40269481431515947,0.530950589887485,0.873,0.791,0.978,FALSE,FALSE,FALSE,FALSE,-0.0425,-0.161,-0.119,0.0679,0.0254,-0.0933
PFKP,Q01813,0.746985304998692,0.3289362493196307,0.21377049843324275,0.832,0.736,0.947,FALSE,FALSE,FALSE,FALSE,-0.123,0.391,0.515,-0.0892,-0.213,0.302
PGAM5,Q96HS1,0.7524458110420489,0.7945051978225521,0.9556037352814479,0.835,0.905,0.986,FALSE,FALSE,FALSE,FALSE,0.0857,0.0706,-0.015,-0.0521,0.0336,0.0185
PGK1,P00558,0.9698095512755596,0.31237656214026766,0.3281485430898316,0.92,0.72,0.965,FALSE,FALSE,FALSE,FALSE,0.00612,0.173,0.167,-0.0596,-0.0535,0.113
PGM2,Q96G03,0.8080153085852126,0.42081762535966416,0.5624568929848496,0.867,0.801,0.979,FALSE,FALSE,FALSE,FALSE,-0.0383,-0.131,-0.0928,0.0565,0.0181,-0.0746
PHB,P35232,0.5352360700915695,0.46495783266912755,0.20450042718350625,0.551,0.823,0.944,FALSE,FALSE,FALSE,FALSE,0.14,-0.166,-0.306,0.00876,0.149,-0.157
PHGDH,O43175,0.8098807652455464,0.22099834058764467,0.30479874094365017,0.868,0.59,0.963,FALSE,FALSE,FALSE,FALSE,0.0555,0.305,0.25,-0.12,-0.0648,0.185
PKM,P14618,0.9045682025632328,0.3259033225104548,0.3800960854778467,0.904,0.733,0.97,FALSE,FALSE,FALSE,FALSE,0.0264,0.228,0.201,-0.0847,-0.0583,0.143
PKP1,Q13835,0.22918773987656438,0.08375002104169271,0.47115267021755725,0.0222,0.211,0.975,FALSE,FALSE,FALSE,FALSE,0.708,1.11,0.403,-0.606,0.102,0.505
PLEC,Q15149,0.732348040242436,0.8180108206862216,0.571936974108394,0.821,0.908,0.979,FALSE,FALSE,FALSE,FALSE,0.0622,-0.0417,-0.104,-0.00684,0.0554,-0.0486
PLIN3,O60664,0.6534140593385629,0.68446259234779006,0.9649892916388577,0.746,0.887,0.987,FALSE,FALSE,FALSE,FALSE,-0.192,-0.174,0.0186,0.122,-0.0704,-0.0517
POLD1,P28340,0.8970865515821571,0.8877111618871663,0.787340385680359,0.902,0.916,0.984,FALSE,FALSE,FALSE,FALSE,-0.0362,0.0396,0.0758,-0.00111,-0.0374,0.0385
PPAT,Q06203,0.9614990251347342,0.65369381390021,0.6878884108301505,0.918,0.881,0.982,FALSE,FALSE,FALSE,FALSE,-0.0148,-0.139,-0.124,0.0514,0.0365,-0.0879
PPIA,P62937,0.933140835114685,0.5506244640864169,0.6052081707276549,0.911,0.855,0.98,FALSE,FALSE,FALSE,FALSE,0.0388,0.281,0.242,-0.107,-0.0679,0.175
PPM1G,O15355,0.734444303911049,0.21572108877185275,0.13551945263133797,0.823,0.58,0.913,FALSE,FALSE,FALSE,FALSE,-0.061,0.24,0.301,-0.0598,-0.121,0.18
PPP2R1A,P30153,0.6491683903001955,0.7414988595543508,0.44294777438814237,0.741,0.897,0.974,FALSE,FALSE,FALSE,FALSE,-0.147,0.106,0.253,0.0137,-0.133,0.12
PPP5C,P53041,0.8629842679071542,0.7413501877559625,0.6183317202926824,0.89,0.897,0.98,FALSE,FALSE,FALSE,FALSE,0.0542,-0.104,-0.158,0.0166,0.0708,-0.0874
PRDX1,Q06830,0.25325771711471484,0.05155906463291779,0.2684530713676313,0.0407,0.0817,0.958,FALSE,FALSE,FALSE,FALSE,0.265,0.521,0.256,-0.262,0.00315,0.259
PRDX2,P32119,0.8613702789147074,0.5840630822309478,0.7050952022643437,0.89,0.864,0.982,FALSE,FALSE,FALSE,FALSE,0.0555,0.177,0.121,-0.0774,-0.0218,0.0992
PREP,P48147,0.705975720803321,0.5563356468757932,0.35002988624545944,0.8,0.857,0.967,FALSE,FALSE,FALSE,FALSE,0.0988,-0.156,-0.254,0.019,0.118,-0.137
PRKDC,P78527,0.9691679686369643,0.33968819159857033,0.3569828263007166,0.92,0.745,0.968,FALSE,FALSE,FALSE,FALSE,-0.0132,-0.342,-0.329,0.118,0.105,-0.224
PRMT1,Q99873,0.9495516326838851,0.8118532780954927,0.7637253633535331,0.915,0.907,0.984,FALSE,FALSE,FALSE,FALSE,0.0195,-0.0737,-0.0932,0.018,0.0376,-0.0556
PRPF40A,O75400,0.9813844166002947,0.8939413619686839,0.8755799242839362,0.922,0.916,0.985,FALSE,FALSE,FALSE,FALSE,-0.00732,0.0418,0.0492,-0.0115,-0.0188,0.0303
PRPF6,O94906,0.8928671589748862,0.622600724246023,0.5349279118090109,0.9,0.874,0.978,FALSE,FALSE,FALSE,FALSE,0.0274,-0.101,-0.129,0.0246,0.052,-0.0767
PRPF8,Q6P2Q9,0.6464390960038056,0.2655397718193503,0.4793159170667626,0.738,0.663,0.975,FALSE,FALSE,FALSE,FALSE,-0.176,-0.451,-0.275,0.209,0.0332,-0.242
PRRC2C,Q9Y520,0.5792135296802622,0.12324672278507477,0.2648343137007718,0.637,0.338,0.957,FALSE,FALSE,FALSE,FALSE,0.152,0.472,0.321,-0.208,-0.0563,0.264
PSAT1,Q9Y617,0.7930389785931373,0.8399587898655366,0.9514151697612211,0.86,0.91,0.986,FALSE,FALSE,FALSE,FALSE,-0.0963,-0.074,0.0223,0.0568,-0.0395,-0.0172
PSMA3,P25788,0.9184761753409934,0.8385218392966636,0.9189416514703651,0.908,0.91,0.986,FALSE,FALSE,FALSE,FALSE,0.0162,0.0323,0.0161,-0.0162,3.1e-5,0.0162
PSMA4,P25789,0.15796819867775583,0.5545655374968076,0.35322335514125885,0.00235,0.856,0.968,FALSE,FALSE,FALSE,FALSE,0.342,0.131,-0.211,-0.158,0.185,-0.0268
PSMB6,P28072,0.49868361224484803,0.5201014550345708,0.21410327114742395,0.467,0.845,0.947,FALSE,FALSE,FALSE,FALSE,0.249,-0.236,-0.484,-0.00427,0.244,-0.24
PSMC3,P17980,0.9775380652362234,0.3276167327430618,0.3158369305157939,0.921,0.734,0.964,FALSE,FALSE,FALSE,FALSE,-0.00444,0.162,0.167,-0.0527,-0.0571,0.11
PSMD11,O00231,0.6939124478682959,0.34269506774797076,0.20230891424482148,0.789,0.748,0.944,FALSE,FALSE,FALSE,FALSE,-0.0751,0.189,0.264,-0.0378,-0.113,0.151
PSMD12,O00232,0.6941346478031021,0.37290858003148597,0.22132107394360978,0.789,0.771,0.949,FALSE,FALSE,FALSE,FALSE,-0.0626,0.147,0.209,-0.0281,-0.0907,0.119
PSMD2,Q13200,0.7446042821897043,0.8731799947448284,0.8669658854653178,0.83,0.914,0.985,FALSE,FALSE,FALSE,FALSE,-0.0602,-0.0294,0.0308,0.0298,-0.0303,4.85e-4
PSMD3,O43242,0.6902819494319063,0.28729250585906246,0.4778184833162861,0.785,0.692,0.975,FALSE,FALSE,FALSE,FALSE,0.137,0.385,0.248,-0.174,-0.0371,0.211
PSME2,Q9UL46,0.9172639263667438,0.8355013481312231,0.9170696727361957,0.907,0.91,0.986,FALSE,FALSE,FALSE,FALSE,0.0478,0.0957,0.0479,-0.0478,-3.76e-5,0.0479
PSME3,P61289,0.4845353255403496,0.6632637724649656,0.782135971505789,0.432,0.883,0.984,FALSE,FALSE,FALSE,FALSE,-0.212,-0.13,0.082,0.114,-0.0979,-0.016
PTPN6,P29350,0.70733246037788855,0.797667915044258,0.5335836053043981,0.801,0.905,0.978,FALSE,FALSE,FALSE,FALSE,0.0549,-0.0373,-0.0922,-0.00585,0.0491,-0.0432
PUF60,Q9UHX1,0.3331340922818859,0.4146751624559563,0.8632525973560405,0.152,0.798,0.985,FALSE,FALSE,FALSE,FALSE,-0.376,-0.313,0.0638,0.23,-0.147,-0.0829
PUS1,Q9Y606,0.8488797562109951,0.6908179014569419,0.5609284562170075,0.885,0.888,0.979,FALSE,FALSE,FALSE,FALSE,0.0438,-0.0921,-0.136,0.0161,0.0599,-0.076
PYCARD,Q9ULZ3,0.7863858507938457,0.916458782314258,0.7082323349547452,0.856,0.919,0.983,FALSE,FALSE,FALSE,FALSE,-0.0993,0.0383,0.138,0.0203,-0.079,0.0586
PYGB,P11216,0.9830692215353958,0.8118869815003664,0.8282518040858005,0.922,0.907,0.985,FALSE,FALSE,FALSE,FALSE,0.00737,0.0829,0.0756,-0.0301,-0.0227,0.0528
PYGL,P06737,0.9001114824248029,0.6522907313699278,0.742940181068759,0.902,0.881,0.983,FALSE,FALSE,FALSE,FALSE,0.0374,0.136,0.0982,-0.0576,-0.0203,0.0779
RAB10,P61026,0.22846374401037486,0.5040196409535456,0.5442222343705516,0.022,0.839,0.978,FALSE,FALSE,FALSE,FALSE,0.224,0.118,-0.106,-0.114,0.11,0.00377
RAB11B,Q15907,0.6177767718121419,0.21808043819269046,0.10951664061900149,0.699,0.584,0.889,FALSE,FALSE,FALSE,FALSE,0.124,-0.329,-0.453,0.0681,0.192,-0.261
RAB14,P61106,0.6206385806234924,0.8372427442787937,0.7686113004383354,0.703,0.91,0.984,FALSE,FALSE,FALSE,FALSE,0.114,0.0468,-0.0671,-0.0535,0.0603,-0.00679
RAB1A,P62820,0.7240977394557451,0.3814477847129839,0.23962937647274357,0.815,0.777,0.953,FALSE,FALSE,FALSE,FALSE,0.0631,-0.162,-0.225,0.033,0.0961,-0.129
RAB3C,Q96E17,0.4978398137112757,0.6292313382325354,0.2679808689157225,0.465,0.876,0.958,FALSE,FALSE,FALSE,FALSE,-0.13,0.0914,0.221,0.0128,-0.117,0.104
RAB7A,P51149,0.4483646121883964,0.9752145439178574,0.46558932411014425,0.348,0.924,0.975,FALSE,FALSE,FALSE,FALSE,-0.124,-0.00494,0.119,0.043,-0.0812,0.0381
RAC2,P15153,0.8845743033096569,0.8640439145671588,0.7526347497384638,0.898,0.913,0.983,FALSE,FALSE,FALSE,FALSE,0.0241,-0.0285,-0.0526,0.00145,0.0256,-0.027
RAD23B,P54727,0.5592339595860897,0.6955058236124088,0.3456015188035583,0.6,0.889,0.967,FALSE,FALSE,FALSE,FALSE,-0.189,0.125,0.314,0.0212,-0.167,0.146
RANGAP1,P46060,0.9037997866273453,0.8347514800273773,0.9297970487748272,0.904,0.91,0.986,FALSE,FALSE,FALSE,FALSE,-0.0743,-0.128,-0.0542,0.0676,-0.00672,-0.0609
RARS,P54136,0.713528017195031,0.38015124809283457,0.5915838458317197,0.806,0.776,0.98,FALSE,FALSE,FALSE,FALSE,-0.0711,-0.176,-0.105,0.0824,0.0112,-0.0936
RHOG,P84095,0.6603781651351939,0.37337679281848546,0.6319559343720214,0.754,0.772,0.981,FALSE,FALSE,FALSE,FALSE,0.0745,0.156,0.0814,-0.0768,-0.00229,0.0791
RNH1,P13489,0.8266531800015041,0.28872718372093376,0.38348660766317105,0.876,0.693,0.97,FALSE,FALSE,FALSE,FALSE,0.0478,0.245,0.198,-0.0977,-0.0499,0.148
