name,ID,Probe_vs_Competition_p.val,Vehicle_vs_Competition_p.val,Vehicle_vs_Probe_p.val,Probe_vs_Competition_p.adj,Vehicle_vs_Competition_p.adj,Vehicle_vs_Probe_p.adj,Probe_vs_Competition_significant,Vehicle_vs_Competition_significant,Vehicle_vs_Probe_significant,significant,Probe_vs_Competition_ratio,Vehicle_vs_Competition_ratio,Vehicle_vs_Probe_ratio,Competition_centered,Probe_centered,Vehicle_centered
CCT8,P50990,0.9306976126681816,0.5709974656733667,0.6288811371262706,0.911,0.861,0.981,FALSE,FALSE,FALSE,FALSE,-0.025,-0.166,-0.141,0.0637,0.0386,-0.102
CEBPZ,Q03701,0.9844621646015428,0.35260572739097973,0.34389279117972327,0.923,0.756,0.967,FALSE,FALSE,FALSE,FALSE,-0.0033,0.165,0.168,-0.053900000000000003,-0.0572,0.111
CHD4,Q14839,0.5002741746518482,0.6368564407894604,0.8318354616337632,0.471,0.877,0.985,FALSE,FALSE,FALSE,FALSE,-0.123,-0.0848,0.0378,0.0691,-0.0535,-0.0157
CLEC11A,Q9Y240,0.49580249521567255,0.07881912084482966,0.2035076913774188,0.46,0.191,0.944,FALSE,FALSE,FALSE,FALSE,0.138,0.412,0.274,-0.183,-0.0454,0.229
CLIC1,O00299,0.880769868652562,0.443619636477171,0.36777675423842837,0.896,0.813,0.969,FALSE,FALSE,FALSE,FALSE,-0.0253,0.133,0.159,-0.036,-0.0613,0.0973
CLTA,P09496,0.7287418515188056,0.267383515424103,0.4193570702712022,0.818,0.666,0.972,FALSE,FALSE,FALSE,FALSE,0.102,0.345,0.244,-0.149,-0.0473,0.196
CLTC,Q00610,0.7692431372035281,0.3895475944793915,0.5555179993760608,0.846,0.783,0.978,FALSE,FALSE,FALSE,FALSE,-0.0943,-0.286,-0.192,0.127,0.0326,-0.16
CLU,P10909,0.6068365059366474,0.11208502944100594,0.22809635223838787,0.683,0.308,0.95,FALSE,FALSE,FALSE,FALSE,0.473,1.65,1.18,-0.709,-0.236,0.946
CLUH,O75153,0.8489013116434097,0.062394257618706296,0.0804228584783875,0.885,0.122,0.839,FALSE,FALSE,FALSE,FALSE,-0.0498,-0.59,-0.54,0.213,0.163,-0.377
CNDP2,Q96KP4,0.688800873706992,0.6230349340046024,0.9251469066815601,0.784,0.874,0.986,FALSE,FALSE,FALSE,FALSE,0.0772,0.0952,0.018,-0.0575,0.0198,0.0377
CNOT1,A5YKK6,0.5318993752007959,0.27273046761696557,0.6000491966397055,0.544,0.673,0.98,FALSE,FALSE,FALSE,FALSE,0.119,0.219,0.0996,-0.113,0.00663,0.106
COLGALT1,Q8NBJ5,0.7981131511787504,0.25800858239944063,0.18244082519384303,0.862,0.653,0.937,FALSE,FALSE,FALSE,FALSE,-0.0498,0.235,0.285,-0.0617,-0.111,0.173
COPB1,P53618,0.30817790409628043,0.2820226445287952,0.9462598481318697,0.113,0.685,0.986,FALSE,FALSE,FALSE,FALSE,-0.208,-0.221,-0.013,0.143,-0.0649,-0.078
COPB2,P35606,0.9208579152696443,0.8225106954904671,0.7470451488130415,0.908,0.908,0.983,FALSE,FALSE,FALSE,FALSE,-0.0193,0.0436,0.0628,-0.00811,-0.0274,0.0355
COPG2,Q9UBF2,0.9836672661178639,0.8475978902592785,0.831698591136614,0.923,0.911,0.985,FALSE,FALSE,FALSE,FALSE,-0.00308,0.029,0.0321,-0.00864,-0.0117,0.0204
CORO1A,P31146,0.5632418867626391,0.45261854934197127,0.21076134788998954,0.608,0.818,0.946,FALSE,FALSE,FALSE,FALSE,-0.13,0.171,0.3,-0.0136,-0.143,0.157
COX4I1,P13073,0.9221878846763181,0.5944230726036673,0.6611691389987074,0.909,0.867,0.981,FALSE,FALSE,FALSE,FALSE,0.0749,0.414,0.339,-0.163,-0.0881,0.251
COX5A,P20674,0.9226997900149714,0.3946289239133179,0.4450620073370833,0.909,0.786,0.974,FALSE,FALSE,FALSE,FALSE,0.0555,0.505,0.45,-0.187,-0.132,0.318
CPSF6,Q16630,0.6927851620784713,0.7209773300843001,0.4615302908994322,0.788,0.893,0.975,FALSE,FALSE,FALSE,FALSE,-0.0642,0.058,0.122,0.00208,-0.0622,0.0601
CPT1A,P50416,0.9049658136301073,0.21336673944037104,0.1814156123560134,0.904,0.575,0.937,FALSE,FALSE,FALSE,FALSE,0.0351,-0.398,-0.433,0.121,0.156,-0.277
CS,O75390,0.9352171349307247,0.6955228085256783,0.6381265504859012,0.912,0.889,0.981,FALSE,FALSE,FALSE,FALSE,0.0122,-0.059,-0.0711,0.0156,0.0278,-0.0434
CSDE1,O75534,0.39164519830951483,0.6771292629933008,0.6416906947847684,0.253,0.886,0.981,FALSE,FALSE,FALSE,FALSE,-0.163,-0.077,0.0863,0.0801,-0.0832,0.00308
CSK,P41240,0.8132218282237409,0.21328305024155356,0.15448855166815137,0.87,0.575,0.925,FALSE,FALSE,FALSE,FALSE,0.0342,-0.195,-0.229,0.0537,0.0878,-0.142
DAD1,P61803,0.648097500850501,0.3992166070241332,0.6814243146096448,0.74,0.789,0.982,FALSE,FALSE,FALSE,FALSE,0.0677,0.129,0.0608,-0.0654,0.00231,0.0631
