0.610351563	0.977739949	0.990068355	1.033210286
2.44140625	0.958026444	0.967883177	1.013481802
4.8828125	0.868342108	0.903784402	0.897627689
9.765625	0.787301085	0.824690758	0.820376565
19.53125	0.734302214	0.762539207	0.740968241
39.0625	0.679340776	0.656226888	0.633637293
78.125	0.569657579	0.485485874	0.575694453
156.25	0.42883047	0.453532221	0.444903835
312.5	0.333899922	0.356878992	0.354617037
625	0.265405467	0.277748853	0.276295809
1250	0.175228549	0.189923769	0.188560604
2500	0.099291666	0.106825026	0.106661746
10000	0.028225259	0.029482067	0.031288635
40000	0.005375764	0.005327829	0.005696333
