0.610351563	0.970127309	0.984783723	1.017392263
2.44140625	0.855886459	0.865013048	0.869449584
4.8828125	0.764905721	0.764620515	0.778453001
9.765625	0.638179118	0.594479237	0.606236058
19.53125	0.446583903	0.459307255	0.467039504
39.0625	0.299781626	0.296137328	0.305881863
78.125	0.190214097	0.190340855	0.189548617
156.25	0.118435418	0.117955322	0.120332037
312.5	0.062383982	0.065758919	0.065627407
625	0.026762241	0.027866621	0.028341964
1250	0.011409606	0.011618757	0.012000616
2500	0.00461885	0.004622019	0.004804234
10000	0.000753023	0.000827493	0.000784712
40000	0.000164786	0.000196475	0.000224996
